PING 192.168.123.2 (192.168.123.2) 512(540) bytes of data.
520 bytes from 192.168.123.2: icmp_seq=2 ttl=64 time=252 ms
520 bytes from 192.168.123.2: icmp_seq=3 ttl=64 time=249 ms
520 bytes from 192.168.123.2: icmp_seq=7 ttl=64 time=248 ms
520 bytes from 192.168.123.2: icmp_seq=9 ttl=64 time=231 ms
520 bytes from 192.168.123.2: icmp_seq=10 ttl=64 time=231 ms
520 bytes from 192.168.123.2: icmp_seq=12 ttl=64 time=253 ms
520 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=244 ms
520 bytes from 192.168.123.2: icmp_seq=15 ttl=64 time=243 ms
520 bytes from 192.168.123.2: icmp_seq=16 ttl=64 time=251 ms
520 bytes from 192.168.123.2: icmp_seq=17 ttl=64 time=252 ms
520 bytes from 192.168.123.2: icmp_seq=19 ttl=64 time=239 ms
520 bytes from 192.168.123.2: icmp_seq=20 ttl=64 time=243 ms
520 bytes from 192.168.123.2: icmp_seq=21 ttl=64 time=252 ms
520 bytes from 192.168.123.2: icmp_seq=22 ttl=64 time=254 ms
520 bytes from 192.168.123.2: icmp_seq=23 ttl=64 time=250 ms
520 bytes from 192.168.123.2: icmp_seq=24 ttl=64 time=244 ms
520 bytes from 192.168.123.2: icmp_seq=25 ttl=64 time=244 ms
520 bytes from 192.168.123.2: icmp_seq=26 ttl=64 time=257 ms
520 bytes from 192.168.123.2: icmp_seq=27 ttl=64 time=245 ms
520 bytes from 192.168.123.2: icmp_seq=29 ttl=64 time=247 ms
520 bytes from 192.168.123.2: icmp_seq=30 ttl=64 time=244 ms
520 bytes from 192.168.123.2: icmp_seq=31 ttl=64 time=251 ms
520 bytes from 192.168.123.2: icmp_seq=33 ttl=64 time=261 ms
520 bytes from 192.168.123.2: icmp_seq=36 ttl=64 time=251 ms
520 bytes from 192.168.123.2: icmp_seq=37 ttl=64 time=255 ms
520 bytes from 192.168.123.2: icmp_seq=39 ttl=64 time=236 ms
520 bytes from 192.168.123.2: icmp_seq=40 ttl=64 time=245 ms
520 bytes from 192.168.123.2: icmp_seq=41 ttl=64 time=245 ms
520 bytes from 192.168.123.2: icmp_seq=43 ttl=64 time=248 ms
520 bytes from 192.168.123.2: icmp_seq=45 ttl=64 time=242 ms
520 bytes from 192.168.123.2: icmp_seq=46 ttl=64 time=244 ms
520 bytes from 192.168.123.2: icmp_seq=48 ttl=64 time=250 ms
520 bytes from 192.168.123.2: icmp_seq=50 ttl=64 time=238 ms
520 bytes from 192.168.123.2: icmp_seq=51 ttl=64 time=245 ms
520 bytes from 192.168.123.2: icmp_seq=52 ttl=64 time=247 ms
520 bytes from 192.168.123.2: icmp_seq=53 ttl=64 time=250 ms
520 bytes from 192.168.123.2: icmp_seq=56 ttl=64 time=242 ms
520 bytes from 192.168.123.2: icmp_seq=57 ttl=64 time=251 ms
520 bytes from 192.168.123.2: icmp_seq=59 ttl=64 time=245 ms
520 bytes from 192.168.123.2: icmp_seq=60 ttl=64 time=246 ms
520 bytes from 192.168.123.2: icmp_seq=62 ttl=64 time=253 ms
520 bytes from 192.168.123.2: icmp_seq=64 ttl=64 time=245 ms
520 bytes from 192.168.123.2: icmp_seq=65 ttl=64 time=242 ms
520 bytes from 192.168.123.2: icmp_seq=66 ttl=64 time=239 ms
520 bytes from 192.168.123.2: icmp_seq=68 ttl=64 time=239 ms
520 bytes from 192.168.123.2: icmp_seq=72 ttl=64 time=249 ms
520 bytes from 192.168.123.2: icmp_seq=74 ttl=64 time=235 ms
520 bytes from 192.168.123.2: icmp_seq=75 ttl=64 time=237 ms
520 bytes from 192.168.123.2: icmp_seq=76 ttl=64 time=243 ms
520 bytes from 192.168.123.2: icmp_seq=78 ttl=64 time=245 ms
520 bytes from 192.168.123.2: icmp_seq=82 ttl=64 time=254 ms
520 bytes from 192.168.123.2: icmp_seq=83 ttl=64 time=250 ms
520 bytes from 192.168.123.2: icmp_seq=84 ttl=64 time=230 ms
520 bytes from 192.168.123.2: icmp_seq=86 ttl=64 time=248 ms
520 bytes from 192.168.123.2: icmp_seq=87 ttl=64 time=255 ms
520 bytes from 192.168.123.2: icmp_seq=88 ttl=64 time=245 ms
520 bytes from 192.168.123.2: icmp_seq=90 ttl=64 time=239 ms
520 bytes from 192.168.123.2: icmp_seq=92 ttl=64 time=247 ms
520 bytes from 192.168.123.2: icmp_seq=96 ttl=64 time=241 ms
520 bytes from 192.168.123.2: icmp_seq=97 ttl=64 time=251 ms
520 bytes from 192.168.123.2: icmp_seq=98 ttl=64 time=237 ms

--- 192.168.123.2 ping statistics ---
100 packets transmitted, 61 received, 39% packet loss, time 19961ms
rtt min/avg/max/mdev = 229.655/245.692/260.612/6.415 ms, pipe 2
