configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,512,157.9,163.652,9.22,132.81,165.649,151.863,165.382
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,1436,152.141,153.26,12.065,124.168,165.639,142.891,164.51
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,16,156.324,161.22,11.066,125.262,165.364,151.01,165.026
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,512,156.573,157.764,8.594,129.283,165.361,151.806,163.026
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,1436,150.639,150.371,13.33,130.488,165.593,139.162,164.675
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,16,77.821,87.032,17.111,52.425,95.86,62.153,92.372
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,512,69.48,66.827,16.999,52.399,96.063,52.429,80.169
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,1436,74.018,68.444,9.754,64.091,96.202,67.724,79.834
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,16,76.358,82.448,11.031,52.433,85.973,70.8,84.84
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,512,82.105,85.03,7.974,52.418,85.33,84.214,85.196
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,1436,82.58,85.04,5.954,61.182,85.357,83.918,85.155
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,16,147.207,150.388,17.197,115.761,165.67,128.505,164.513
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,512,161.202,165.546,11.007,120.592,166.005,165.398,165.62
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,1436,160.432,165.515,10.05,136.119,165.684,163.582,165.588
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,162.212,164.404,5.792,142.408,165.62,163.127,165.351
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,512,162.069,165.456,6.739,140.539,166.189,161.417,165.505
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,1436,161.578,164.378,6.234,142.492,166.021,160.989,165.514
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,16,155.591,157.331,6.549,123.908,160.079,155.192,158.588
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,512,156.087,157.966,8.977,109.736,160.569,156.574,159.291
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,1436,151.249,158.664,24.561,60.175,160.35,157.072,159.174
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,16,69.479,75.482,10.785,48.557,78.175,56.952,77.894
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,512,70.718,77.808,10.367,48.899,78.308,64.121,78.048
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,1436,67.454,77.888,13.463,38.87,78.327,59.366,78.112
