PING 192.168.123.2 (192.168.123.2) 512(540) bytes of data.
520 bytes from 192.168.123.2: icmp_seq=1 ttl=64 time=33.0 ms
520 bytes from 192.168.123.2: icmp_seq=2 ttl=64 time=36.1 ms
520 bytes from 192.168.123.2: icmp_seq=3 ttl=64 time=33.2 ms
520 bytes from 192.168.123.2: icmp_seq=4 ttl=64 time=28.2 ms
520 bytes from 192.168.123.2: icmp_seq=5 ttl=64 time=34.6 ms
520 bytes from 192.168.123.2: icmp_seq=6 ttl=64 time=36.5 ms
520 bytes from 192.168.123.2: icmp_seq=7 ttl=64 time=38.9 ms
520 bytes from 192.168.123.2: icmp_seq=8 ttl=64 time=34.7 ms
520 bytes from 192.168.123.2: icmp_seq=9 ttl=64 time=26.6 ms
520 bytes from 192.168.123.2: icmp_seq=10 ttl=64 time=40.5 ms
520 bytes from 192.168.123.2: icmp_seq=11 ttl=64 time=49.7 ms
520 bytes from 192.168.123.2: icmp_seq=12 ttl=64 time=51.7 ms
520 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=48.2 ms
520 bytes from 192.168.123.2: icmp_seq=14 ttl=64 time=43.2 ms
520 bytes from 192.168.123.2: icmp_seq=15 ttl=64 time=37.1 ms
520 bytes from 192.168.123.2: icmp_seq=16 ttl=64 time=39.8 ms
520 bytes from 192.168.123.2: icmp_seq=17 ttl=64 time=46.3 ms
520 bytes from 192.168.123.2: icmp_seq=18 ttl=64 time=50.8 ms
520 bytes from 192.168.123.2: icmp_seq=19 ttl=64 time=44.7 ms
520 bytes from 192.168.123.2: icmp_seq=20 ttl=64 time=42.7 ms
520 bytes from 192.168.123.2: icmp_seq=21 ttl=64 time=43.5 ms
520 bytes from 192.168.123.2: icmp_seq=22 ttl=64 time=56.8 ms
520 bytes from 192.168.123.2: icmp_seq=23 ttl=64 time=50.3 ms
520 bytes from 192.168.123.2: icmp_seq=24 ttl=64 time=44.7 ms
520 bytes from 192.168.123.2: icmp_seq=25 ttl=64 time=47.6 ms
520 bytes from 192.168.123.2: icmp_seq=26 ttl=64 time=49.6 ms
520 bytes from 192.168.123.2: icmp_seq=27 ttl=64 time=51.7 ms
520 bytes from 192.168.123.2: icmp_seq=28 ttl=64 time=55.7 ms
520 bytes from 192.168.123.2: icmp_seq=29 ttl=64 time=63.6 ms
520 bytes from 192.168.123.2: icmp_seq=30 ttl=64 time=60.6 ms
520 bytes from 192.168.123.2: icmp_seq=31 ttl=64 time=63.2 ms
520 bytes from 192.168.123.2: icmp_seq=32 ttl=64 time=66.7 ms
520 bytes from 192.168.123.2: icmp_seq=33 ttl=64 time=60.7 ms
520 bytes from 192.168.123.2: icmp_seq=34 ttl=64 time=62.6 ms
520 bytes from 192.168.123.2: icmp_seq=35 ttl=64 time=61.2 ms
520 bytes from 192.168.123.2: icmp_seq=36 ttl=64 time=66.2 ms
520 bytes from 192.168.123.2: icmp_seq=37 ttl=64 time=69.6 ms
520 bytes from 192.168.123.2: icmp_seq=38 ttl=64 time=46.8 ms
520 bytes from 192.168.123.2: icmp_seq=39 ttl=64 time=50.1 ms
520 bytes from 192.168.123.2: icmp_seq=40 ttl=64 time=69.7 ms
520 bytes from 192.168.123.2: icmp_seq=41 ttl=64 time=64.1 ms
520 bytes from 192.168.123.2: icmp_seq=42 ttl=64 time=58.2 ms
520 bytes from 192.168.123.2: icmp_seq=43 ttl=64 time=64.2 ms
520 bytes from 192.168.123.2: icmp_seq=44 ttl=64 time=57.6 ms
520 bytes from 192.168.123.2: icmp_seq=45 ttl=64 time=52.2 ms
520 bytes from 192.168.123.2: icmp_seq=46 ttl=64 time=61.2 ms
520 bytes from 192.168.123.2: icmp_seq=47 ttl=64 time=56.7 ms
520 bytes from 192.168.123.2: icmp_seq=48 ttl=64 time=60.1 ms
520 bytes from 192.168.123.2: icmp_seq=49 ttl=64 time=69.6 ms
520 bytes from 192.168.123.2: icmp_seq=50 ttl=64 time=88.2 ms
520 bytes from 192.168.123.2: icmp_seq=51 ttl=64 time=132 ms
520 bytes from 192.168.123.2: icmp_seq=52 ttl=64 time=164 ms
520 bytes from 192.168.123.2: icmp_seq=53 ttl=64 time=183 ms
520 bytes from 192.168.123.2: icmp_seq=54 ttl=64 time=201 ms
520 bytes from 192.168.123.2: icmp_seq=55 ttl=64 time=226 ms
520 bytes from 192.168.123.2: icmp_seq=56 ttl=64 time=247 ms
520 bytes from 192.168.123.2: icmp_seq=57 ttl=64 time=248 ms
520 bytes from 192.168.123.2: icmp_seq=58 ttl=64 time=249 ms
520 bytes from 192.168.123.2: icmp_seq=59 ttl=64 time=252 ms
