PING 192.168.123.2 (192.168.123.2) 512(540) bytes of data.
520 bytes from 192.168.123.2: icmp_seq=1 ttl=64 time=215 ms
520 bytes from 192.168.123.2: icmp_seq=4 ttl=64 time=222 ms
520 bytes from 192.168.123.2: icmp_seq=5 ttl=64 time=229 ms
520 bytes from 192.168.123.2: icmp_seq=6 ttl=64 time=222 ms
520 bytes from 192.168.123.2: icmp_seq=7 ttl=64 time=218 ms
520 bytes from 192.168.123.2: icmp_seq=10 ttl=64 time=228 ms
520 bytes from 192.168.123.2: icmp_seq=11 ttl=64 time=227 ms
520 bytes from 192.168.123.2: icmp_seq=12 ttl=64 time=228 ms
520 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=220 ms
520 bytes from 192.168.123.2: icmp_seq=14 ttl=64 time=118 ms
520 bytes from 192.168.123.2: icmp_seq=17 ttl=64 time=224 ms
520 bytes from 192.168.123.2: icmp_seq=18 ttl=64 time=227 ms
520 bytes from 192.168.123.2: icmp_seq=19 ttl=64 time=224 ms
520 bytes from 192.168.123.2: icmp_seq=20 ttl=64 time=217 ms
520 bytes from 192.168.123.2: icmp_seq=22 ttl=64 time=227 ms
520 bytes from 192.168.123.2: icmp_seq=23 ttl=64 time=226 ms
520 bytes from 192.168.123.2: icmp_seq=24 ttl=64 time=215 ms
520 bytes from 192.168.123.2: icmp_seq=25 ttl=64 time=217 ms
520 bytes from 192.168.123.2: icmp_seq=31 ttl=64 time=224 ms
520 bytes from 192.168.123.2: icmp_seq=32 ttl=64 time=226 ms
520 bytes from 192.168.123.2: icmp_seq=33 ttl=64 time=217 ms
520 bytes from 192.168.123.2: icmp_seq=34 ttl=64 time=225 ms
520 bytes from 192.168.123.2: icmp_seq=35 ttl=64 time=219 ms
520 bytes from 192.168.123.2: icmp_seq=36 ttl=64 time=217 ms
520 bytes from 192.168.123.2: icmp_seq=38 ttl=64 time=221 ms
520 bytes from 192.168.123.2: icmp_seq=39 ttl=64 time=218 ms
520 bytes from 192.168.123.2: icmp_seq=40 ttl=64 time=219 ms
520 bytes from 192.168.123.2: icmp_seq=41 ttl=64 time=231 ms
520 bytes from 192.168.123.2: icmp_seq=42 ttl=64 time=221 ms
520 bytes from 192.168.123.2: icmp_seq=43 ttl=64 time=217 ms
520 bytes from 192.168.123.2: icmp_seq=44 ttl=64 time=226 ms
520 bytes from 192.168.123.2: icmp_seq=48 ttl=64 time=225 ms
520 bytes from 192.168.123.2: icmp_seq=49 ttl=64 time=222 ms
520 bytes from 192.168.123.2: icmp_seq=50 ttl=64 time=218 ms
520 bytes from 192.168.123.2: icmp_seq=51 ttl=64 time=229 ms
520 bytes from 192.168.123.2: icmp_seq=52 ttl=64 time=220 ms
520 bytes from 192.168.123.2: icmp_seq=53 ttl=64 time=212 ms
520 bytes from 192.168.123.2: icmp_seq=54 ttl=64 time=215 ms
520 bytes from 192.168.123.2: icmp_seq=55 ttl=64 time=215 ms
520 bytes from 192.168.123.2: icmp_seq=56 ttl=64 time=219 ms
520 bytes from 192.168.123.2: icmp_seq=57 ttl=64 time=215 ms
520 bytes from 192.168.123.2: icmp_seq=65 ttl=64 time=227 ms
520 bytes from 192.168.123.2: icmp_seq=67 ttl=64 time=223 ms
520 bytes from 192.168.123.2: icmp_seq=68 ttl=64 time=227 ms
520 bytes from 192.168.123.2: icmp_seq=69 ttl=64 time=231 ms
520 bytes from 192.168.123.2: icmp_seq=70 ttl=64 time=217 ms
520 bytes from 192.168.123.2: icmp_seq=71 ttl=64 time=228 ms
520 bytes from 192.168.123.2: icmp_seq=72 ttl=64 time=218 ms
520 bytes from 192.168.123.2: icmp_seq=73 ttl=64 time=221 ms
520 bytes from 192.168.123.2: icmp_seq=74 ttl=64 time=217 ms
520 bytes from 192.168.123.2: icmp_seq=75 ttl=64 time=216 ms
520 bytes from 192.168.123.2: icmp_seq=84 ttl=64 time=219 ms
520 bytes from 192.168.123.2: icmp_seq=86 ttl=64 time=223 ms
520 bytes from 192.168.123.2: icmp_seq=87 ttl=64 time=222 ms
520 bytes from 192.168.123.2: icmp_seq=88 ttl=64 time=223 ms
520 bytes from 192.168.123.2: icmp_seq=89 ttl=64 time=219 ms
520 bytes from 192.168.123.2: icmp_seq=90 ttl=64 time=232 ms
520 bytes from 192.168.123.2: icmp_seq=91 ttl=64 time=223 ms

--- 192.168.123.2 ping statistics ---
100 packets transmitted, 58 received, 42% packet loss, time 20002ms
rtt min/avg/max/mdev = 117.685/219.789/231.756/14.366 ms, pipe 2
