PING 192.168.123.2 (192.168.123.2) 512(540) bytes of data.
520 bytes from 192.168.123.2: icmp_seq=1 ttl=64 time=546 ms
520 bytes from 192.168.123.2: icmp_seq=2 ttl=64 time=541 ms
520 bytes from 192.168.123.2: icmp_seq=3 ttl=64 time=529 ms
520 bytes from 192.168.123.2: icmp_seq=4 ttl=64 time=507 ms
520 bytes from 192.168.123.2: icmp_seq=5 ttl=64 time=495 ms
520 bytes from 192.168.123.2: icmp_seq=6 ttl=64 time=504 ms
520 bytes from 192.168.123.2: icmp_seq=7 ttl=64 time=314 ms
520 bytes from 192.168.123.2: icmp_seq=8 ttl=64 time=551 ms
520 bytes from 192.168.123.2: icmp_seq=9 ttl=64 time=568 ms
520 bytes from 192.168.123.2: icmp_seq=10 ttl=64 time=525 ms
520 bytes from 192.168.123.2: icmp_seq=11 ttl=64 time=519 ms
520 bytes from 192.168.123.2: icmp_seq=12 ttl=64 time=532 ms
520 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=525 ms
520 bytes from 192.168.123.2: icmp_seq=14 ttl=64 time=539 ms
520 bytes from 192.168.123.2: icmp_seq=15 ttl=64 time=558 ms
520 bytes from 192.168.123.2: icmp_seq=16 ttl=64 time=569 ms
520 bytes from 192.168.123.2: icmp_seq=17 ttl=64 time=566 ms
520 bytes from 192.168.123.2: icmp_seq=18 ttl=64 time=552 ms
520 bytes from 192.168.123.2: icmp_seq=19 ttl=64 time=543 ms
520 bytes from 192.168.123.2: icmp_seq=20 ttl=64 time=542 ms
520 bytes from 192.168.123.2: icmp_seq=21 ttl=64 time=544 ms
520 bytes from 192.168.123.2: icmp_seq=22 ttl=64 time=527 ms
520 bytes from 192.168.123.2: icmp_seq=23 ttl=64 time=535 ms
520 bytes from 192.168.123.2: icmp_seq=24 ttl=64 time=513 ms
520 bytes from 192.168.123.2: icmp_seq=25 ttl=64 time=552 ms
520 bytes from 192.168.123.2: icmp_seq=26 ttl=64 time=556 ms
520 bytes from 192.168.123.2: icmp_seq=27 ttl=64 time=560 ms
520 bytes from 192.168.123.2: icmp_seq=28 ttl=64 time=564 ms
520 bytes from 192.168.123.2: icmp_seq=29 ttl=64 time=561 ms
520 bytes from 192.168.123.2: icmp_seq=30 ttl=64 time=540 ms
520 bytes from 192.168.123.2: icmp_seq=31 ttl=64 time=529 ms
520 bytes from 192.168.123.2: icmp_seq=32 ttl=64 time=546 ms
520 bytes from 192.168.123.2: icmp_seq=33 ttl=64 time=571 ms
520 bytes from 192.168.123.2: icmp_seq=34 ttl=64 time=567 ms
520 bytes from 192.168.123.2: icmp_seq=35 ttl=64 time=588 ms
520 bytes from 192.168.123.2: icmp_seq=39 ttl=64 time=569 ms
520 bytes from 192.168.123.2: icmp_seq=40 ttl=64 time=573 ms
520 bytes from 192.168.123.2: icmp_seq=53 ttl=64 time=545 ms
520 bytes from 192.168.123.2: icmp_seq=54 ttl=64 time=532 ms
520 bytes from 192.168.123.2: icmp_seq=55 ttl=64 time=567 ms
520 bytes from 192.168.123.2: icmp_seq=59 ttl=64 time=549 ms
520 bytes from 192.168.123.2: icmp_seq=60 ttl=64 time=530 ms
520 bytes from 192.168.123.2: icmp_seq=61 ttl=64 time=521 ms
520 bytes from 192.168.123.2: icmp_seq=62 ttl=64 time=527 ms
520 bytes from 192.168.123.2: icmp_seq=63 ttl=64 time=565 ms
520 bytes from 192.168.123.2: icmp_seq=65 ttl=64 time=547 ms
520 bytes from 192.168.123.2: icmp_seq=66 ttl=64 time=539 ms
520 bytes from 192.168.123.2: icmp_seq=67 ttl=64 time=520 ms
520 bytes from 192.168.123.2: icmp_seq=68 ttl=64 time=533 ms
520 bytes from 192.168.123.2: icmp_seq=69 ttl=64 time=549 ms
520 bytes from 192.168.123.2: icmp_seq=71 ttl=64 time=551 ms
520 bytes from 192.168.123.2: icmp_seq=73 ttl=64 time=523 ms
520 bytes from 192.168.123.2: icmp_seq=74 ttl=64 time=513 ms
520 bytes from 192.168.123.2: icmp_seq=75 ttl=64 time=505 ms
520 bytes from 192.168.123.2: icmp_seq=76 ttl=64 time=536 ms
520 bytes from 192.168.123.2: icmp_seq=78 ttl=64 time=324 ms
520 bytes from 192.168.123.2: icmp_seq=79 ttl=64 time=540 ms
520 bytes from 192.168.123.2: icmp_seq=80 ttl=64 time=541 ms
520 bytes from 192.168.123.2: icmp_seq=81 ttl=64 time=531 ms
520 bytes from 192.168.123.2: icmp_seq=82 ttl=64 time=520 ms
520 bytes from 192.168.123.2: icmp_seq=83 ttl=64 time=515 ms
520 bytes from 192.168.123.2: icmp_seq=84 ttl=64 time=513 ms
520 bytes from 192.168.123.2: icmp_seq=85 ttl=64 time=512 ms
520 bytes from 192.168.123.2: icmp_seq=87 ttl=64 time=579 ms
520 bytes from 192.168.123.2: icmp_seq=88 ttl=64 time=564 ms
520 bytes from 192.168.123.2: icmp_seq=89 ttl=64 time=558 ms
520 bytes from 192.168.123.2: icmp_seq=90 ttl=64 time=570 ms
520 bytes from 192.168.123.2: icmp_seq=91 ttl=64 time=565 ms
520 bytes from 192.168.123.2: icmp_seq=92 ttl=64 time=544 ms
520 bytes from 192.168.123.2: icmp_seq=93 ttl=64 time=535 ms
520 bytes from 192.168.123.2: icmp_seq=94 ttl=64 time=533 ms
520 bytes from 192.168.123.2: icmp_seq=95 ttl=64 time=555 ms
520 bytes from 192.168.123.2: icmp_seq=96 ttl=64 time=572 ms
520 bytes from 192.168.123.2: icmp_seq=97 ttl=64 time=569 ms
520 bytes from 192.168.123.2: icmp_seq=98 ttl=64 time=561 ms
520 bytes from 192.168.123.2: icmp_seq=99 ttl=64 time=577 ms
520 bytes from 192.168.123.2: icmp_seq=100 ttl=64 time=574 ms

--- 192.168.123.2 ping statistics ---
100 packets transmitted, 77 received, 23% packet loss, time 19921ms
rtt min/avg/max/mdev = 313.640/537.953/587.624/41.376 ms, pipe 3
