PING 192.168.123.2 (192.168.123.2) 512(540) bytes of data.
520 bytes from 192.168.123.2: icmp_seq=1 ttl=64 time=290 ms
520 bytes from 192.168.123.2: icmp_seq=2 ttl=64 time=298 ms
520 bytes from 192.168.123.2: icmp_seq=3 ttl=64 time=292 ms
520 bytes from 192.168.123.2: icmp_seq=4 ttl=64 time=325 ms
520 bytes from 192.168.123.2: icmp_seq=5 ttl=64 time=318 ms
520 bytes from 192.168.123.2: icmp_seq=6 ttl=64 time=322 ms
520 bytes from 192.168.123.2: icmp_seq=8 ttl=64 time=308 ms
520 bytes from 192.168.123.2: icmp_seq=10 ttl=64 time=339 ms
520 bytes from 192.168.123.2: icmp_seq=11 ttl=64 time=319 ms
520 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=319 ms
520 bytes from 192.168.123.2: icmp_seq=14 ttl=64 time=299 ms
520 bytes from 192.168.123.2: icmp_seq=15 ttl=64 time=302 ms
520 bytes from 192.168.123.2: icmp_seq=16 ttl=64 time=304 ms
520 bytes from 192.168.123.2: icmp_seq=17 ttl=64 time=302 ms
520 bytes from 192.168.123.2: icmp_seq=18 ttl=64 time=181 ms
520 bytes from 192.168.123.2: icmp_seq=19 ttl=64 time=309 ms
520 bytes from 192.168.123.2: icmp_seq=20 ttl=64 time=322 ms
520 bytes from 192.168.123.2: icmp_seq=21 ttl=64 time=291 ms
520 bytes from 192.168.123.2: icmp_seq=22 ttl=64 time=295 ms
520 bytes from 192.168.123.2: icmp_seq=23 ttl=64 time=292 ms
520 bytes from 192.168.123.2: icmp_seq=24 ttl=64 time=310 ms
520 bytes from 192.168.123.2: icmp_seq=25 ttl=64 time=326 ms
520 bytes from 192.168.123.2: icmp_seq=26 ttl=64 time=300 ms
520 bytes from 192.168.123.2: icmp_seq=27 ttl=64 time=274 ms
520 bytes from 192.168.123.2: icmp_seq=28 ttl=64 time=274 ms
520 bytes from 192.168.123.2: icmp_seq=29 ttl=64 time=275 ms
520 bytes from 192.168.123.2: icmp_seq=30 ttl=64 time=271 ms
520 bytes from 192.168.123.2: icmp_seq=31 ttl=64 time=271 ms
520 bytes from 192.168.123.2: icmp_seq=32 ttl=64 time=274 ms
520 bytes from 192.168.123.2: icmp_seq=33 ttl=64 time=278 ms
520 bytes from 192.168.123.2: icmp_seq=34 ttl=64 time=300 ms
520 bytes from 192.168.123.2: icmp_seq=35 ttl=64 time=325 ms
520 bytes from 192.168.123.2: icmp_seq=36 ttl=64 time=314 ms
520 bytes from 192.168.123.2: icmp_seq=37 ttl=64 time=271 ms
520 bytes from 192.168.123.2: icmp_seq=38 ttl=64 time=271 ms
520 bytes from 192.168.123.2: icmp_seq=39 ttl=64 time=272 ms
520 bytes from 192.168.123.2: icmp_seq=40 ttl=64 time=270 ms
520 bytes from 192.168.123.2: icmp_seq=41 ttl=64 time=279 ms
520 bytes from 192.168.123.2: icmp_seq=42 ttl=64 time=278 ms
520 bytes from 192.168.123.2: icmp_seq=43 ttl=64 time=284 ms
520 bytes from 192.168.123.2: icmp_seq=44 ttl=64 time=286 ms
520 bytes from 192.168.123.2: icmp_seq=45 ttl=64 time=281 ms
520 bytes from 192.168.123.2: icmp_seq=46 ttl=64 time=296 ms
520 bytes from 192.168.123.2: icmp_seq=47 ttl=64 time=186 ms
520 bytes from 192.168.123.2: icmp_seq=48 ttl=64 time=349 ms
520 bytes from 192.168.123.2: icmp_seq=49 ttl=64 time=339 ms
520 bytes from 192.168.123.2: icmp_seq=50 ttl=64 time=344 ms
520 bytes from 192.168.123.2: icmp_seq=51 ttl=64 time=361 ms
520 bytes from 192.168.123.2: icmp_seq=52 ttl=64 time=336 ms
520 bytes from 192.168.123.2: icmp_seq=54 ttl=64 time=312 ms
520 bytes from 192.168.123.2: icmp_seq=55 ttl=64 time=306 ms
520 bytes from 192.168.123.2: icmp_seq=56 ttl=64 time=304 ms
520 bytes from 192.168.123.2: icmp_seq=57 ttl=64 time=308 ms
520 bytes from 192.168.123.2: icmp_seq=58 ttl=64 time=310 ms
520 bytes from 192.168.123.2: icmp_seq=59 ttl=64 time=307 ms
520 bytes from 192.168.123.2: icmp_seq=60 ttl=64 time=313 ms
520 bytes from 192.168.123.2: icmp_seq=62 ttl=64 time=312 ms
520 bytes from 192.168.123.2: icmp_seq=63 ttl=64 time=307 ms
520 bytes from 192.168.123.2: icmp_seq=64 ttl=64 time=307 ms
520 bytes from 192.168.123.2: icmp_seq=65 ttl=64 time=306 ms
520 bytes from 192.168.123.2: icmp_seq=66 ttl=64 time=321 ms
520 bytes from 192.168.123.2: icmp_seq=67 ttl=64 time=334 ms
520 bytes from 192.168.123.2: icmp_seq=68 ttl=64 time=348 ms
520 bytes from 192.168.123.2: icmp_seq=70 ttl=64 time=354 ms
520 bytes from 192.168.123.2: icmp_seq=71 ttl=64 time=361 ms
520 bytes from 192.168.123.2: icmp_seq=74 ttl=64 time=345 ms
520 bytes from 192.168.123.2: icmp_seq=80 ttl=64 time=363 ms
520 bytes from 192.168.123.2: icmp_seq=85 ttl=64 time=328 ms
520 bytes from 192.168.123.2: icmp_seq=86 ttl=64 time=340 ms
520 bytes from 192.168.123.2: icmp_seq=87 ttl=64 time=346 ms
520 bytes from 192.168.123.2: icmp_seq=88 ttl=64 time=321 ms
520 bytes from 192.168.123.2: icmp_seq=89 ttl=64 time=207 ms
520 bytes from 192.168.123.2: icmp_seq=90 ttl=64 time=340 ms
520 bytes from 192.168.123.2: icmp_seq=91 ttl=64 time=315 ms
520 bytes from 192.168.123.2: icmp_seq=92 ttl=64 time=337 ms
