PING 192.168.123.2 (192.168.123.2) 16(44) bytes of data.
24 bytes from 192.168.123.2: icmp_seq=4 ttl=64 time=580 ms
24 bytes from 192.168.123.2: icmp_seq=9 ttl=64 time=546 ms
24 bytes from 192.168.123.2: icmp_seq=10 ttl=64 time=539 ms
24 bytes from 192.168.123.2: icmp_seq=11 ttl=64 time=530 ms
24 bytes from 192.168.123.2: icmp_seq=12 ttl=64 time=548 ms
24 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=564 ms
24 bytes from 192.168.123.2: icmp_seq=17 ttl=64 time=543 ms
24 bytes from 192.168.123.2: icmp_seq=18 ttl=64 time=537 ms
24 bytes from 192.168.123.2: icmp_seq=19 ttl=64 time=526 ms
24 bytes from 192.168.123.2: icmp_seq=20 ttl=64 time=520 ms
24 bytes from 192.168.123.2: icmp_seq=21 ttl=64 time=510 ms
24 bytes from 192.168.123.2: icmp_seq=22 ttl=64 time=554 ms
24 bytes from 192.168.123.2: icmp_seq=25 ttl=64 time=551 ms
24 bytes from 192.168.123.2: icmp_seq=26 ttl=64 time=534 ms
24 bytes from 192.168.123.2: icmp_seq=27 ttl=64 time=519 ms
24 bytes from 192.168.123.2: icmp_seq=28 ttl=64 time=505 ms
24 bytes from 192.168.123.2: icmp_seq=29 ttl=64 time=527 ms
24 bytes from 192.168.123.2: icmp_seq=30 ttl=64 time=549 ms
24 bytes from 192.168.123.2: icmp_seq=32 ttl=64 time=536 ms
24 bytes from 192.168.123.2: icmp_seq=33 ttl=64 time=536 ms
24 bytes from 192.168.123.2: icmp_seq=34 ttl=64 time=525 ms
24 bytes from 192.168.123.2: icmp_seq=35 ttl=64 time=520 ms
24 bytes from 192.168.123.2: icmp_seq=36 ttl=64 time=504 ms
24 bytes from 192.168.123.2: icmp_seq=37 ttl=64 time=504 ms
24 bytes from 192.168.123.2: icmp_seq=38 ttl=64 time=536 ms
24 bytes from 192.168.123.2: icmp_seq=39 ttl=64 time=543 ms
24 bytes from 192.168.123.2: icmp_seq=40 ttl=64 time=533 ms
24 bytes from 192.168.123.2: icmp_seq=41 ttl=64 time=550 ms
24 bytes from 192.168.123.2: icmp_seq=42 ttl=64 time=562 ms
24 bytes from 192.168.123.2: icmp_seq=43 ttl=64 time=511 ms
24 bytes from 192.168.123.2: icmp_seq=44 ttl=64 time=538 ms
24 bytes from 192.168.123.2: icmp_seq=45 ttl=64 time=550 ms
24 bytes from 192.168.123.2: icmp_seq=46 ttl=64 time=551 ms
24 bytes from 192.168.123.2: icmp_seq=48 ttl=64 time=566 ms
24 bytes from 192.168.123.2: icmp_seq=49 ttl=64 time=544 ms
24 bytes from 192.168.123.2: icmp_seq=50 ttl=64 time=538 ms
24 bytes from 192.168.123.2: icmp_seq=51 ttl=64 time=556 ms
24 bytes from 192.168.123.2: icmp_seq=52 ttl=64 time=536 ms
24 bytes from 192.168.123.2: icmp_seq=53 ttl=64 time=532 ms
24 bytes from 192.168.123.2: icmp_seq=54 ttl=64 time=541 ms
24 bytes from 192.168.123.2: icmp_seq=55 ttl=64 time=565 ms
24 bytes from 192.168.123.2: icmp_seq=56 ttl=64 time=563 ms
24 bytes from 192.168.123.2: icmp_seq=57 ttl=64 time=548 ms
24 bytes from 192.168.123.2: icmp_seq=58 ttl=64 time=540 ms
24 bytes from 192.168.123.2: icmp_seq=59 ttl=64 time=536 ms
24 bytes from 192.168.123.2: icmp_seq=60 ttl=64 time=551 ms
24 bytes from 192.168.123.2: icmp_seq=61 ttl=64 time=565 ms
24 bytes from 192.168.123.2: icmp_seq=62 ttl=64 time=583 ms
24 bytes from 192.168.123.2: icmp_seq=63 ttl=64 time=582 ms
24 bytes from 192.168.123.2: icmp_seq=64 ttl=64 time=559 ms
24 bytes from 192.168.123.2: icmp_seq=65 ttl=64 time=551 ms
24 bytes from 192.168.123.2: icmp_seq=66 ttl=64 time=550 ms
24 bytes from 192.168.123.2: icmp_seq=67 ttl=64 time=582 ms
24 bytes from 192.168.123.2: icmp_seq=68 ttl=64 time=570 ms
24 bytes from 192.168.123.2: icmp_seq=69 ttl=64 time=556 ms
24 bytes from 192.168.123.2: icmp_seq=70 ttl=64 time=543 ms
24 bytes from 192.168.123.2: icmp_seq=71 ttl=64 time=567 ms
24 bytes from 192.168.123.2: icmp_seq=75 ttl=64 time=546 ms
24 bytes from 192.168.123.2: icmp_seq=78 ttl=64 time=593 ms
24 bytes from 192.168.123.2: icmp_seq=83 ttl=64 time=600 ms
24 bytes from 192.168.123.2: icmp_seq=88 ttl=64 time=543 ms
24 bytes from 192.168.123.2: icmp_seq=89 ttl=64 time=547 ms
24 bytes from 192.168.123.2: icmp_seq=93 ttl=64 time=536 ms
24 bytes from 192.168.123.2: icmp_seq=97 ttl=64 time=541 ms
24 bytes from 192.168.123.2: icmp_seq=98 ttl=64 time=541 ms
24 bytes from 192.168.123.2: icmp_seq=99 ttl=64 time=525 ms

--- 192.168.123.2 ping statistics ---
100 packets transmitted, 66 received, 34% packet loss, time 19947ms
rtt min/avg/max/mdev = 503.864/545.114/600.060/20.236 ms, pipe 3
